港口,货物,年份,月份,吞吐量
南通港,大豆粉,2022,4,3473
南通港,大豆粉,2022,5,4004
南通港,大豆粉,2022,6,2003
南通港,大豆粉,2022,7,1787
南通港,大豆粉,2022,8,679
南通港,大豆粉,2022,9,2744
南通港,大豆粉,2022,10,2973
南通港,大豆粉,2022,11,1481
南通港,大豆粉,2022,12,1896
南通港,大麦,2020,1,2170
南通港,大麦,2020,2,2109
南通港,大麦,2020,3,1757
南通港,大麦,2020,4,1457
南通港,大麦,2020,5,3937
南通港,大麦,2020,6,654
南通港,大麦,2020,7,2314
南通港,大麦,2020,8,1288
南通港,大麦,2020,9,2910
南通港,大麦,2020,10,1504
南通港,大麦,2020,11,1970
南通港,大麦,2020,12,3284
南通港,大麦,2021,1,1686
南通港,大麦,2021,2,1344
南通港,大麦,2021,3,2022
南通港,大麦,2021,4,1737
南通港,大麦,2021,5,1242
南通港,大麦,2021,6,1832
南通港,大麦,2021,7,3463
南通港,大麦,2021,8,2285
南通港,大麦,2021,9,3299
南通港,大麦,2021,10,2328
南通港,大麦,2021,11,1953
南通港,大麦,2021,12,1720
南通港,大麦,2022,1,2702
南通港,大麦,2022,2,2747
南通港,大麦,2022,3,2382
南通港,大麦,2022,4,2705
南通港,大麦,2022,5,1801
南通港,大麦,2022,6,2939
南通港,大麦,2022,7,3711
南通港,大麦,2022,8,1193
南通港,大麦,2022,9,2810
南通港,大麦,2022,10,3595
南通港,大麦,2022,11,2967
南通港,大麦,2022,12,1751
南通港,天然橡胶,2020,1,2781
南通港,天然橡胶,2020,2,2048
南通港,天然橡胶,2020,3,2095
南通港,天然橡胶,2020,4,1866
南通港,天然橡胶,2020,5,1917
南通港,天然橡胶,2020,6,2293
南通港,天然橡胶,2020,7,677
南通港,天然橡胶,2020,8,551
南通港,天然橡胶,2020,9,969
南通港,天然橡胶,2020,10,1498
南通港,天然橡胶,2020,11,1768
南通港,天然橡胶,2020,12,1818
南通港,天然橡胶,2021,1,4695
南通港,天然橡胶,2021,2,2160
南通港,天然橡胶,2021,3,3216
南通港,天然橡胶,2021,4,1099
南通港,天然橡胶,2021,5,1963
南通港,天然橡胶,2021,6,2927
南通港,天然橡胶,2021,7,3561
南通港,天然橡胶,2021,8,2251
南通港,天然橡胶,2021,9,2828
南通港,天然橡胶,2021,10,1135
南通港,天然橡胶,2021,11,2008
南通港,天然橡胶,2021,12,4122
南通港,天然橡胶,2022,1,2163
南通港,天然橡胶,2022,2,1607
南通港,天然橡胶,2022,3,2460
南通港,天然橡胶,2022,4,2120
南通港,天然橡胶,2022,5,2005
南通港,天然橡胶,2022,6,2678
南通港,天然橡胶,2022,7,3141
南通港,天然橡胶,2022,8,2817
南通港,天然橡胶,2022,9,1090
南通港,天然橡胶,2022,10,2998
南通港,天然橡胶,2022,11,3671
南通港,天然橡胶,2022,12,1659
南通港,小牛,2020,1,2229
南通港,小牛,2020,2,2917
南通港,小牛,2020,3,1454
南通港,小牛,2020,4,2391
南通港,小牛,2020,5,2256
南通港,小牛,2020,6,1136
南通港,小牛,2020,7,1140
南通港,小牛,2020,8,1729
南通港,小牛,2020,9,1769
南通港,小牛,2020,10,2335
南通港,小牛,2020,11,1090
南通港,小牛,2020,12,1746
南通港,小牛,2021,1,2938
南通港,小牛,2021,2,1610
南通港,小牛,2021,3,1717
南通港,小牛,2021,4,1804
南通港,小牛,2021,5,3815
南通港,小牛,2021,6,2069
南通港,小牛,2021,7,3381
南通港,小牛,2021,8,3102
南通港,小牛,2021,9,3556
南通港,小牛,2021,10,1947
南通港,小牛,2021,11,2896
南通港,小牛,2021,12,1940
南通港,小牛,2022,1,2036
南通港,小牛,2022,2,4635
南通港,小牛,2022,3,1769
南通港,小牛,2022,4,3091
南通港,小牛,2022,5,2217
南通港,小牛,2022,6,2425
南通港,小牛,2022,7,1456
南通港,小牛,2022,8,1643
南通港,小牛,2022,9,2333
南通港,小牛,2022,10,1268
南通港,小牛,2022,11,1806
南通港,小牛,2022,12,3156
南通港,小麦,2020,1,1374
南通港,小麦,2020,2,3494
南通港,小麦,2020,3,2151
南通港,小麦,2020,4,1569
南通港,小麦,2020,5,1860
南通港,小麦,2020,6,1994
南通港,小麦,2020,7,2210
南通港,小麦,2020,8,1975
南通港,小麦,2020,9,1665
南通港,小麦,2020,10,2478
南通港,小麦,2020,11,3932
南通港,小麦,2020,12,3267
南通港,小麦,2021,1,1828
南通港,小麦,2021,2,2346
南通港,小麦,2021,3,4457
南通港,小麦,2021,4,2032
南通港,小麦,2021,5,1719
南通港,小麦,2021,6,1463
南通港,小麦,2021,7,2756
南通港,小麦,2021,8,2331
南通港,小麦,2021,9,2118
南通港,小麦,2021,10,2185
南通港,小麦,2021,11,667
南通港,小麦,2021,12,2788
南通港,小麦,2022,1,1164
南通港,小麦,2022,2,1685
南通港,小麦,2022,3,2506
南通港,小麦,2022,4,3028
南通港,小麦,2022,5,1341
南通港,小麦,2022,6,2912
南通港,小麦,2022,7,2764
南通港,小麦,2022,8,1208
南通港,小麦,2022,9,1804
南通港,小麦,2022,10,1836
南通港,小麦,2022,11,3196
南通港,小麦,2022,12,3147
南通港,木材,2020,1,1917
南通港,木材,2020,2,2948
南通港,木材,2020,3,1209
南通港,木材,2020,4,1476
南通港,木材,2020,5,719
南通港,木材,2020,6,844
南通港,木材,2020,7,1926
南通港,木材,2020,8,2960
南通港,木材,2020,9,4411
南通港,木材,2020,10,2825
南通港,木材,2020,11,1482
南通港,木材,2020,12,2181
南通港,木材,2021,1,2337
南通港,木材,2021,2,3284
南通港,木材,2021,3,2339
南通港,木材,2021,4,3961
南通港,木材,2021,5,1078
南通港,木材,2021,6,324
南通港,木材,2021,7,1056
南通港,木材,2021,8,2197
南通港,木材,2021,9,2354
南通港,木材,2021,10,1720
南通港,木材,2021,11,1169
南通港,木材,2021,12,2052
南通港,木材,2022,1,2184
南通港,木材,2022,2,2528
南通港,木材,2022,3,4428
南通港,木材,2022,4,2040
南通港,木材,2022,5,1690
南通港,木材,2022,6,2431
南通港,木材,2022,7,2685
南通港,木材,2022,8,980
南通港,木材,2022,9,2683
南通港,木材,2022,10,3574
南通港,木材,2022,11,4139
南通港,木材,2022,12,3743
南通港,水泥,2020,1,1887
南通港,水泥,2020,2,1411
南通港,水泥,2020,3,1972
南通港,水泥,2020,4,3217
南通港,水泥,2020,5,1307
南通港,水泥,2020,6,3446
南通港,水泥,2020,7,3100
南通港,水泥,2020,8,2209
南通港,水泥,2020,9,2566
南通港,水泥,2020,10,2893
南通港,水泥,2020,11,2699
南通港,水泥,2020,12,2064
南通港,水泥,2021,1,3247
南通港,水泥,2021,2,1591
南通港,水泥,2021,3,2091
南通港,水泥,2021,4,2004
南通港,水泥,2021,5,1702
南通港,水泥,2021,6,1487
南通港,水泥,2021,7,1833
南通港,水泥,2021,8,1161
南通港,水泥,2021,9,1831
南通港,水泥,2021,10,1570
南通港,水泥,2021,11,1510
南通港,水泥,2021,12,1864
南通港,水泥,2022,1,1562
南通港,水泥,2022,2,1277
南通港,水泥,2022,3,2515
南通港,水泥,2022,4,1452
南通港,水泥,2022,5,1576
南通港,水泥,2022,6,1135
南通港,水泥,2022,7,2000
南通港,水泥,2022,8,2016
南通港,水泥,2022,9,3942
南通港,水泥,2022,10,4654
南通港,水泥,2022,11,2035
南通港,水泥,2022,12,2082
南通港,活牛,2020,1,1548
南通港,活牛,2020,2,1430
南通港,活牛,2020,3,1446
南通港,活牛,2020,4,4066
南通港,活牛,2020,5,123
南通港,活牛,2020,6,2158
南通港,活牛,2020,7,3185
南通港,活牛,2020,8,2118
南通港,活牛,2020,9,1881
南通港,活牛,2020,10,1141
南通港,活牛,2020,11,2214
南通港,活牛,2020,12,1055
南通港,活牛,2021,1,2152
南通港,活牛,2021,2,2473
南通港,活牛,2021,3,2777
南通港,活牛,2021,4,606
南通港,活牛,2021,5,786
南通港,活牛,2021,6,3069
南通港,活牛,2021,7,2941
南通港,活牛,2021,8,3147
南通港,活牛,2021,9,2474
南通港,活牛,2021,10,945
南通港,活牛,2021,11,367
南通港,活牛,2021,12,1327
南通港,活牛,2022,1,1870
南通港,活牛,2022,2,3031
南通港,活牛,2022,3,2383
南通港,活牛,2022,4,3196
南通港,活牛,2022,5,2338
南通港,活牛,2022,6,1782
南通港,活牛,2022,7,1961
南通港,活牛,2022,8,3862
南通港,活牛,2022,9,4666
南通港,活牛,2022,10,1473
南通港,活牛,2022,11,1991
南通港,活牛,2022,12,2776
南通港,活猪,2020,1,2639
南通港,活猪,2020,2,848
南通港,活猪,2020,3,1240
南通港,活猪,2020,4,1563
南通港,活猪,2020,5,2103
南通港,活猪,2020,6,2882
南通港,活猪,2020,7,2130
南通港,活猪,2020,8,2538
南通港,活猪,2020,9,2812
南通港,活猪,2020,10,3443
南通港,活猪,2020,11,1069
南通港,活猪,2020,12,1025
南通港,活猪,2021,1,3177
南通港,活猪,2021,2,1700
南通港,活猪,2021,3,492
南通港,活猪,2021,4,2283
南通港,活猪,2021,5,2313
南通港,活猪,2021,6,1998
南通港,活猪,2021,7,1058
南通港,活猪,2021,8,1469
南通港,活猪,2021,9,773
南通港,活猪,2021,10,3155
南通港,活猪,2021,11,1053
南通港,活猪,2021,12,765
南通港,活猪,2022,1,3082
南通港,活猪,2022,2,2332
南通港,活猪,2022,3,2910
南通港,活猪,2022,4,1618
南通港,活猪,2022,5,3160
南通港,活猪,2022,6,1448
南通港,活猪,2022,7,3244
南通港,活猪,2022,8,4098
南通港,活猪,2022,9,2558
南通港,活猪,2022,10,2181
南通港,活猪,2022,11,2026
南通港,活猪,2022,12,3055
南通港,燕麦,2019,12,310
南通港,燕麦,2020,1,1569
南通港,燕麦,2020,2,2169
南通港,燕麦,2020,3,3526
南通港,燕麦,2020,4,2910
南通港,燕麦,2020,5,3119
南通港,燕麦,2020,6,2155
南通港,燕麦,2020,7,1663
南通港,燕麦,2020,8,1109
南通港,燕麦,2020,9,3074
南通港,燕麦,2020,10,1984
南通港,燕麦,2020,11,2670
南通港,燕麦,2020,12,1514
南通港,燕麦,2021,1,2015
南通港,燕麦,2021,2,2748
南通港,燕麦,2021,3,2915
南通港,燕麦,2021,4,2785
南通港,燕麦,2021,5,1696
南通港,燕麦,2021,6,2501
南通港,燕麦,2021,7,1089
南通港,燕麦,2021,8,2039
南通港,燕麦,2021,9,1068
南通港,燕麦,2021,10,656
南通港,燕麦,2021,11,730
南通港,燕麦,2021,12,1563
南通港,燕麦,2022,1,2894
南通港,燕麦,2022,2,2802
南通港,燕麦,2022,3,4575
南通港,燕麦,2022,4,2160
南通港,燕麦,2022,5,3664
南通港,燕麦,2022,6,1801
南通港,燕麦,2022,7,4016
南通港,燕麦,2022,8,2217
南通港,燕麦,2022,9,1712
南通港,燕麦,2022,10,2303
南通港,燕麦,2022,11,1548
南通港,燕麦,2022,12,2142
南通港,猪腩,2020,1,1961
南通港,猪腩,2020,2,3464
南通港,猪腩,2020,3,1825
南通港,猪腩,2020,4,1577
南通港,猪腩,2020,5,4013
南通港,猪腩,2020,6,2694
南通港,猪腩,2020,7,2261
南通港,猪腩,2020,8,4398
南通港,猪腩,2020,9,2459
南通港,猪腩,2020,10,2941
南通港,猪腩,2020,11,2407
南通港,猪腩,2020,12,2791
南通港,猪腩,2021,1,290
南通港,猪腩,2021,2,3553
南通港,猪腩,2021,3,1167
南通港,猪腩,2021,4,3051
南通港,猪腩,2021,5,2726
南通港,猪腩,2021,6,1250
南通港,猪腩,2021,7,2006
南通港,猪腩,2021,8,3376
南通港,猪腩,2021,9,4867
南通港,猪腩,2021,10,1148
南通港,猪腩,2021,11,3557
南通港,猪腩,2021,12,1905
南通港,猪腩,2022,1,398
南通港,猪腩,2022,2,1815
南通港,猪腩,2022,3,2340
南通港,猪腩,2022,4,1265
南通港,猪腩,2022,5,2318
南通港,猪腩,2022,6,1921
南通港,猪腩,2022,7,670
南通港,猪腩,2022,8,2383
南通港,猪腩,2022,9,756
南通港,猪腩,2022,10,2336
南通港,猪腩,2022,11,2954
南通港,猪腩,2022,12,1870
南通港,砂石,2020,1,1388
南通港,砂石,2020,2,1095
南通港,砂石,2020,3,1635
南通港,砂石,2020,4,1963
南通港,砂石,2020,5,1713
南通港,砂石,2020,6,2091
南通港,砂石,2020,7,1620
南通港,砂石,2020,8,2436
南通港,砂石,2020,9,1645
南通港,砂石,2020,10,1620
南通港,砂石,2020,11,1236
南通港,砂石,2020,12,2185
南通港,砂石,2021,1,1917
南通港,砂石,2021,2,3088
南通港,砂石,2021,3,2415
南通港,砂石,2021,4,2078
南通港,砂石,2021,5,1780
南通港,砂石,2021,6,2480
南通港,砂石,2021,7,1521
南通港,砂石,2021,8,2386
南通港,砂石,2021,9,1050
南通港,砂石,2021,10,2517
南通港,砂石,2021,11,1652
南通港,砂石,2021,12,1523
南通港,砂石,2022,1,1320
南通港,砂石,2022,2,1658
南通港,砂石,2022,3,2942
南通港,砂石,2022,4,1755
南通港,砂石,2022,5,1854
南通港,砂石,2022,6,1849
南通港,砂石,2022,7,1343
南通港,砂石,2022,8,2876
南通港,砂石,2022,9,2352
南通港,砂石,2022,10,4469
南通港,砂石,2022,11,1633
南通港,砂石,2022,12,2208
南通港,稻谷,2020,1,1193
南通港,稻谷,2020,2,847
南通港,稻谷,2020,3,1218
南通港,稻谷,2020,4,2107
南通港,稻谷,2020,5,2009
南通港,稻谷,2020,6,1806
南通港,稻谷,2020,7,2123
南通港,稻谷,2020,8,1883
南通港,稻谷,2020,9,1480
南通港,稻谷,2020,10,2487
南通港,稻谷,2020,11,1590
南通港,稻谷,2020,12,3052
南通港,稻谷,2021,1,2856
南通港,稻谷,2021,2,2310
南通港,稻谷,2021,3,1916
南通港,稻谷,2021,4,1604
南通港,稻谷,2021,5,1032
南通港,稻谷,2021,6,1162
南通港,稻谷,2021,7,1463
南通港,稻谷,2021,8,2268
南通港,稻谷,2021,9,3112
南通港,稻谷,2021,10,3917
南通港,稻谷,2021,11,2523
南通港,稻谷,2021,12,2840
南通港,稻谷,2022,1,2946
南通港,稻谷,2022,2,2787
南通港,稻谷,2022,3,1430
南通港,稻谷,2022,4,1814
南通港,稻谷,2022,5,1486
南通港,稻谷,2022,6,2600
南通港,稻谷,2022,7,2487
南通港,稻谷,2022,8,1785
南通港,稻谷,2022,9,1603
南通港,稻谷,2022,10,1641
南通港,稻谷,2022,11,79
南通港,稻谷,2022,12,2596
南通港,茶叶,2020,1,1606
南通港,茶叶,2020,2,817
南通港,茶叶,2020,3,1192
南通港,茶叶,2020,4,2084
南通港,茶叶,2020,5,1067
南通港,茶叶,2020,6,2075
南通港,茶叶,2020,7,1618
南通港,茶叶,2020,8,1439
南通港,茶叶,2020,9,1190
南通港,茶叶,2020,10,1952
南通港,茶叶,2020,11,3088
南通港,茶叶,2020,12,3651
南通港,茶叶,2021,1,2303
南通港,茶叶,2021,2,1764
南通港,茶叶,2021,3,1759
南通港,茶叶,2021,4,4309
南通港,茶叶,2021,5,2654
南通港,茶叶,2021,6,3673
南通港,茶叶,2021,7,3616
南通港,茶叶,2021,8,1537
南通港,茶叶,2021,9,1741
南通港,茶叶,2021,10,2153
南通港,茶叶,2021,11,2023
南通港,茶叶,2021,12,1512
南通港,茶叶,2022,1,4111
南通港,茶叶,2022,2,1176
南通港,茶叶,2022,3,2010
南通港,茶叶,2022,4,2804
南通港,茶叶,2022,5,2251
南通港,茶叶,2022,6,1936
南通港,茶叶,2022,7,1354
南通港,茶叶,2022,8,1726
南通港,茶叶,2022,9,1140
南通港,茶叶,2022,10,2221
南通港,茶叶,2022,11,4191
南通港,茶叶,2022,12,4911
南通港,钢材,2020,1,1281
南通港,钢材,2020,2,766
南通港,钢材,2020,3,1590
南通港,钢材,2020,4,2654
南通港,钢材,2020,5,2274
南通港,钢材,2020,6,2115
南通港,钢材,2020,7,2823
南通港,钢材,2020,8,2623
南通港,钢材,2020,9,1362
南通港,钢材,2020,10,1221
南通港,钢材,2020,11,2505
南通港,钢材,2020,12,1361
南通港,钢材,2021,1,2455
南通港,钢材,2021,2,2293
南通港,钢材,2021,3,2067
南通港,钢材,2021,4,824
南通港,钢材,2021,5,2187
南通港,钢材,2021,6,2000
南通港,钢材,2021,7,3388
南通港,钢材,2021,8,1780
南通港,钢材,2021,9,3777
南通港,钢材,2021,10,1823
南通港,钢材,2021,11,2009
南通港,钢材,2021,12,3101
南通港,钢材,2022,1,2030
南通港,钢材,2022,2,2264
南通港,钢材,2022,3,2713
南通港,钢材,2022,4,3655
南通港,钢材,2022,5,2231
南通港,钢材,2022,6,3957
南通港,钢材,2022,7,1183
南通港,钢材,2022,8,2958
南通港,钢材,2022,9,2048
南通港,钢材,2022,10,1989
南通港,钢材,2022,11,2050
南通港,钢材,2022,12,2934
南通港,铁矿石,2019,12,49
南通港,铁矿石,2020,1,1748
南通港,铁矿石,2020,2,1005
南通港,铁矿石,2020,3,2012
南通港,铁矿石,2020,4,1623
南通港,铁矿石,2020,5,1752
南通港,铁矿石,2020,6,1847
南通港,铁矿石,2020,7,2993
南通港,铁矿石,2020,8,2388
南通港,铁矿石,2020,9,2219
南通港,铁矿石,2020,10,3820
南通港,铁矿石,2020,11,2425
南通港,铁矿石,2020,12,2742
南通港,铁矿石,2021,1,4086
南通港,铁矿石,2021,2,2634
南通港,铁矿石,2021,3,2969
南通港,铁矿石,2021,4,2894
南通港,铁矿石,2021,5,2634
南通港,铁矿石,2021,6,4858
南通港,铁矿石,2021,7,1620
南通港,铁矿石,2021,8,2135
南通港,铁矿石,2021,9,1368
南通港,铁矿石,2021,10,2533
南通港,铁矿石,2021,11,2295
南通港,铁矿石,2021,12,3264
南通港,铁矿石,2022,1,3101
南通港,铁矿石,2022,2,2455
南通港,铁矿石,2022,3,2209
南通港,铁矿石,2022,4,1925
南通港,铁矿石,2022,5,1662
南通港,铁矿石,2022,6,1795
南通港,铁矿石,2022,7,3848
南通港,铁矿石,2022,8,1411
南通港,铁矿石,2022,9,2971
南通港,铁矿石,2022,10,3580
南通港,铁矿石,2022,11,5721
南通港,铁矿石,2022,12,2462
南通港,铜,2020,1,2895
南通港,铜,2020,2,2487
南通港,铜,2020,3,2871
南通港,铜,2020,4,1792
南通港,铜,2020,5,1158
南通港,铜,2020,6,2533
南通港,铜,2020,7,2151
南通港,铜,2020,8,616
南通港,铜,2020,9,1806
南通港,铜,2020,10,2756
南通港,铜,2020,11,1281
南通港,铜,2020,12,3945
南通港,铜,2021,1,2100
南通港,铜,2021,2,1919
南通港,铜,2021,3,2456
南通港,铜,2021,4,2504
南通港,铜,2021,5,2685
南通港,铜,2021,6,1394
南通港,铜,2021,7,657
南通港,铜,2021,8,3077
南通港,铜,2021,9,3283
南通港,铜,2021,10,1167
南通港,铜,2021,11,884
南通港,铜,2021,12,1651
南通港,铜,2022,1,1604
南通港,铜,2022,2,1635
南通港,铜,2022,3,1956
南通港,铜,2022,4,2483
南通港,铜,2022,5,3728
南通港,铜,2022,6,1458
南通港,铜,2022,7,1089
南通港,铜,2022,8,1262
南通港,铜,2022,9,3656
南通港,铜,2022,10,2690
南通港,铜,2022,11,2320
南通港,铜,2022,12,985
南通港,黑麦,2020,1,2800
南通港,黑麦,2020,2,3178
南通港,黑麦,2020,3,2092
南通港,黑麦,2020,4,1878
南通港,黑麦,2020,5,1537
南通港,黑麦,2020,6,760
南通港,黑麦,2020,7,3432
南通港,黑麦,2020,8,1111
南通港,黑麦,2020,9,682
南通港,黑麦,2020,10,1826
南通港,黑麦,2020,11,2854
